year,trades,net_pnl_per_$1k_vega,sharpe,hit_rate
2013,91,868.0,5.87,68.1
2014,29,156.0,1.32,75.9
2015,62,277.0,1.55,56.5
2016,61,1516.0,6.52,88.5
2017,90,1159.0,4.77,72.2
2018,3,-51.0,-1.61,0.0
2019,134,1352.0,3.68,71.6
2020,56,1217.0,2.93,75.0
2021,181,2689.0,6.4,68.5
2022,4,122.0,1.53,75.0
2023,160,2293.0,6.24,67.5
2024,135,-829.0,-1.88,50.4
2025,85,1433.0,5.49,80.0
